PID CMD
669 avahi-daemon:
542 avahi-daemon:
12434 awk
2724 bash
20 [cpuhp/0]
21 [cpuhp/1]
543 @dbus-daemon
52 [ecryptfs-kthread]
1858 fusermount3
1722 gdm-session-worker
12262 gjs
19 [idle_inject/0]
22 [idle_inject/1]
807 [irq/18-vmwgfx]
42 [irq/9-acpi]
189 [jbd2/sda2-8]
30 [kauditd]
35 [kcompactd0]
27 [kdevtmpfs]
38 [khugepaged]
31 [khungtaskd]
36 [ksmd]
16 [ksoftirqd/0]
24 [ksoftirqd/1]
51 [kswapd0]
2 [kthreadd]
12294 [kworker/0:0-events]
11820 [kworker/0:1-events]
4736 [kworker/0:1H-kblockd]
3312 [kworker/0:2H-kblockd]
11977 [kworker/0:2-rcu_gp]
12370 [kworker/0:3]
12335 [kworker/1:0-events]
11751 [kworker/1:1-events]
50 [kworker/1:1H-kblockd]
12085 [kworker/1:2-cgroup_destroy]
527 [kworker/1:2H-kblockd]
54 [kworker/R-acpi_]
44 [kworker/R-ata_s]
41 [kworker/R-blkcg]
87 [kworker/R-charg]
796 [kworker/R-crypt]
48 [kworker/R-devfr]
47 [kworker/R-edac-]
190 [kworker/R-ext4-]
28 [kworker/R-inet_]
63 [kworker/R-ipv6_]
40 [kworker/R-kbloc]
39 [kworker/R-kinte]
72 [kworker/R-kstrp]
53 [kworker/R-kthro]
45 [kworker/R-md]
46 [kworker/R-md_bi]
62 [kworker/R-mld]
12 [kworker/R-mm_pe]
7 [kworker/R-netns]
4 [kworker/R-rcu_g]
5 [kworker/R-rcu_p]
57 [kworker/R-scsi_]
59 [kworker/R-scsi_]
136 [kworker/R-scsi_]
6 [kworker/R-slub_]
43 [kworker/R-tpm_d]
808 [kworker/R-ttm]
34 [kworker/R-write]
4450 [kworker/u4:1-events_unbound]
11578 [kworker/u4:2-events_unbound]
12054 [kworker/u4:3-events_power_efficient]
11916 [kworker/u4:4-events_power_efficient]
74 [kworker/u5:0-ttm]
2539 [kworker/u5:1]
18 [migration/0]
23 [migration/1]
32 [oom_reaper]
3 [pool_workqueue_release]
12433 ps
380 [psimon]
9544 [psimon]
17 [rcu_preempt]
13 [rcu_tasks_kthread]
14 [rcu_tasks_rude_kthread]
15 [rcu_tasks_trace_kthread]
56 [scsi_eh_0]
58 [scsi_eh_1]
135 [scsi_eh_2]
1739 (sd-pam)
3236 /snap/firefox/4793/usr/lib/firefox/firefox
3382 /snap/firefox/4793/usr/lib/firefox/firefox
3581 /snap/firefox/4793/usr/lib/firefox/firefox
3758 /snap/firefox/4793/usr/lib/firefox/firefox
3943 /snap/firefox/4793/usr/lib/firefox/firefox
3945 /snap/firefox/4793/usr/lib/firefox/firefox
3983 /snap/firefox/4793/usr/lib/firefox/firefox
4282 /snap/firefox/4793/usr/lib/firefox/firefox
3363 /snap/firefox/4793/usr/lib/firefox/firefox
4300 /snap/firefox/4793/usr/lib/firefox/firefox
3935 /snap/firefox/4793/usr/lib/firefox/firefox
3079 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
3209 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
1998 /usr/bin/dbus-daemon
1773 /usr/bin/dbus-daemon
2612 /usr/bin/gjs
2126 /usr/bin/gjs
1769 /usr/bin/gnome-keyring-daemon
1983 /usr/bin/gnome-shell
2134 /usr/bin/ibus-daemon
4179 /usr/bin/nautilus
